Código;Título;Autorxs;Org.;Tradução;Ano;Colecção;Volume;Editora;Local;Edição;Nº de Páginas;Ex. N.º;ISBN#;Formato;Etiquetas;Estatuto;Estado
0001/AGRABS;A evolução, a revolução e o ideal anarquista;[Élisée Reclus];[-];[-];2002;-;-;Editora Imaginári, Expressão e arte editora;[Brasil];1;131;;85-85362-80-4;Impresso;[Anarquismo];Disponível para requisição;
0002/AGRABS;Estruturalismo: antologia de textos teóricos;[Michel Foucault* Jacques Derrida* Claude Lévi-Strauss* Louis Althusser* Jacques Lacan* Jean-Paul Sartre* Roland Barthes* Lucien Sebag* Outros];[Eduardo Prado Coelho];[Maria Eduarda Reis Colares* António Ramos Rosa* Eduardo Prado Coelho];;Colecção Problemas;24;Portugália Editora;[Portugal];-;417;;-;Impresso;[Estruturalismo* Ciências Humanas];Disponível para requisição;
0003/AGRABS;Vigiar e punir: Nascimento da Prisão;[Michel Foucault];[-];[Pedro Elói Duarte];2013;-;-;Edições 70 (Edições Almedina);[Lisboa];1;360;;978-972-44-1766-0;Impresso;[Prisões];Disponível para requisição;
0004/AGRABS;Surveiller et punir;[Michel Foucault];[-];[-];1975;;225;Gallimard;[França];1;360;;978-2-07-072968-5;Impresso;[Prisões];Disponível para requisição;
0005/AGRABS;Ivan Illich e Paulo Freire: A opressão da pedagogia, A pedagogia dos oprimidos;[Rosiska Darcy de Oliveira* Pierre Dominicé];[-];[Carlos da Veiga Ferreira];1997;Cadernos Livres;11;Livraria Sá da Costa;[Lisboa];1;60;1;-;Impresso;[Pedagogia];Disponível para requisição;
0006/AGRABS;Lenguaje, poder e identidad;[Judith Butler];[-];[Javier Sáez y Beatriz Preciado];1997;-;-;Editorial Síntesis;[Estado espanhol];1;271;;84-9756-177-5;Impresso;[Sexualidades* linguagem];Disponível para requisição;
0007/AGRABS;The grand design;[Stephen Hawking* Leonard Mlodinow];[-];[-];2010;-;-;Bantam Press;[Londres];1;200;;978-0-593-05830-5;Impresso;[Ciência];Disponível para requisição;
0008/AGRABS;Guia útil per a la transformació social;[-];[Edicions Co.lectives];[-];2003;-;-;Edicions Co.lectives;[Barcelona];1;144;;84-96044-11-4;Impresso;[Perfiguração];Disponível para requisição;
0009/AGRABS;Movimento feminista e educação: Portugal, décadas de 70 e 80;[Maria José Magalhães];[-];[-];1998;-;-;Celta;[Oeiras, Portugal];1;218;;972-8027-93-1;Impresso;[Feminismos* Educação];Disponível para requisição;
0010/AGRABS;Ecología y género en diálogo interdisciplinar;[-];[Alicia H. Puleo];[-];2015;-;-;Plaza y valdes;[Espanha];1;413;;978-84-16032-43-3;Impresso;[Feminismos* Ecologia];Disponível para requisição;
0011/AGRABS;Ecofeminismo. Para Otro Mundo Posible;[Alicia H. Puleo];[-];[-];2013;Feminismos;-;Ediciones Cátedra;[Madrid ];2;439;;978-84-376-2729-8;Impresso;[Ecofeminismo* Ética];Disponível para requisição;
0012/AGRABS;Jineology;[Jineology Committee Europe];[-];[-];2017;-;-;Mezopotamien Verlag und Vertriebs GmbH;[Holanda];1;64;;978-3-941012-943;Impresso;[Feminismos];Disponível para requisição;
0013/AGRABS;Judith Butler en disputa: Lecturas sobre la performatividad;[Pablo Pérez Navarro* Patricia Soley-Beltran* Elvira Burgos Díaz* Leticia Sabsay* Jesús González Fisac* Lídia Puigvert];[Patricia Soley-Beltran* Leticia Sabsay];[Patricia Soley-Beltran];2012;Colecção G;-;Egales;[Barcelona, Madrid];1;237;;978-84-92813-60-5;Impresso;[Feminismos];Disponível para requisição;
0014/AGRABS;Current perspectives in feminist media studies;[-];[Lisa McLaughin* Cynthia Carter];[-];2013;-;-;Routledge;[USA, Canada];1;142;;978-0-415-54011-7;Impresso;[Feminismos* Media* Anti-racismo];Disponível para requisição;
